City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Pontal Do Parana,BR,-25.6533,-48.5128,78.46,92,39,1.54,scattered clouds
80,Port Blair,IN,11.6667,92.75,80.78,86,98,9.13,overcast clouds
81,Pacific Grove,US,36.6177,-121.9166,80.28,86,31,5.01,scattered clouds
82,Urumqi,CN,43.801,87.6005,76.15,36,0,4.47,clear sky
83,Clyde River,CA,70.4692,-68.5914,46.63,81,75,14.97,broken clouds
84,Hasaki,JP,35.7333,140.8333,72.28,87,97,12.8,overcast clouds
85,Cayenne,GF,4.9333,-52.3333,83.08,81,20,0.0,few clouds
86,Bambous Virieux,MU,-20.3428,57.7575,70.05,64,40,11.5,scattered clouds
87,Nelson Bay,AU,-32.7167,152.15,50.68,90,97,7.87,moderate rain
88,Anchorage,US,61.2181,-149.9003,66.94,69,75,1.01,broken clouds
89,Pascagoula,US,30.3658,-88.5561,91.06,66,20,8.05,few clouds
90,Mahebourg,MU,-20.4081,57.7,70.09,64,40,11.5,scattered clouds
91,Port-Gentil,GA,-0.7193,8.7815,75.16,88,20,6.91,few clouds
92,Barcelos,PT,41.5388,-8.6151,68.29,87,3,6.4,clear sky
93,Kaseda,JP,31.4167,130.3167,73.74,88,99,2.53,overcast clouds
94,Wajir,KE,1.7471,40.0573,78.93,56,100,18.01,overcast clouds
95,Husavik,IS,66.0449,-17.3389,60.71,71,99,5.17,overcast clouds
96,Cape Coast,GH,5.1053,-1.2466,77.47,83,96,11.97,overcast clouds
97,Severo-Kurilsk,RU,50.6789,156.125,55.69,92,99,8.75,overcast clouds
98,Barrow,US,71.2906,-156.7887,33.82,86,90,10.36,mist
99,Darnah,LY,32.767,22.6367,78.53,79,0,14.72,clear sky
100,Saint-Philippe,RE,-21.3585,55.7679,69.39,77,18,10.02,few clouds
101,Talnakh,RU,69.4865,88.3972,39.36,71,87,4.12,overcast clouds
102,Billings,US,45.7833,-108.5007,84.29,37,67,14.0,broken clouds
103,Santa Rosa,PH,14.3122,121.1114,80.91,84,100,3.09,overcast clouds
104,Kasongo-Lunda,CD,-6.4667,16.8167,68.38,28,2,1.16,clear sky
105,Norman Wells,CA,65.282,-126.8329,82.44,26,75,5.75,broken clouds
106,Mount Gambier,AU,-37.8333,140.7667,49.91,87,90,12.66,overcast clouds
107,Kulhudhuffushi,MV,6.6221,73.07,81.97,81,100,14.79,overcast clouds
108,Nanortalik,GL,60.1432,-45.2371,45.1,82,43,3.53,scattered clouds
109,Avera,US,33.194,-82.5271,91.44,47,78,6.69,broken clouds
110,Codrington,AU,-38.2667,141.9667,50.2,91,100,17.27,overcast clouds
111,Linqiong,CN,30.4159,103.4609,82.22,92,65,2.46,broken clouds
112,Gazli,UZ,40.1333,63.45,83.5,25,0,13.38,clear sky
113,Saint-Joseph,RE,-21.3667,55.6167,68.38,74,11,11.56,few clouds
114,Leningradskiy,RU,69.3833,178.4167,43.52,87,61,11.95,broken clouds
115,Nikologory,RU,56.1413,41.9922,69.75,70,8,4.85,clear sky
116,Juneau,US,58.3019,-134.4197,59.85,95,90,8.05,light rain
117,Gonen,TR,40.1049,27.654,70.92,71,0,2.73,clear sky
118,Lebu,CL,-37.6167,-73.65,49.87,79,1,15.55,clear sky
119,Kristiinankaupunki,FI,62.2743,21.376,60.78,81,15,1.32,few clouds
120,Tuburan,PH,6.6439,122.2736,79.84,79,94,0.94,overcast clouds
121,Yurimaguas,PE,-5.9,-76.0833,89.76,58,40,5.75,scattered clouds
122,Gat,IL,31.61,34.7642,79.48,76,2,3.09,clear sky
123,Adre,TD,13.4667,22.2,77.02,62,100,4.85,overcast clouds
124,Avarua,CK,-21.2078,-159.775,78.85,69,40,10.36,scattered clouds
125,Pisco,PE,-13.7,-76.2167,69.85,68,13,16.11,haze
126,Paamiut,GL,61.994,-49.6678,42.58,86,93,10.27,overcast clouds
127,Saskylakh,RU,71.9167,114.0833,44.64,64,100,14.52,overcast clouds
128,Thinadhoo,MV,0.5333,72.9333,81.81,71,91,1.28,overcast clouds
129,Totness,SR,5.8833,-56.3167,80.01,85,59,8.23,broken clouds
130,Godda,IN,24.8333,87.2167,81.07,85,97,6.98,overcast clouds
131,Fukue,JP,32.6881,128.8419,79.43,90,100,6.58,overcast clouds
132,Cherskiy,RU,68.75,161.3,42.08,76,100,5.14,overcast clouds
133,Baker City,US,44.7749,-117.8344,95.94,24,0,12.82,clear sky
134,Lavrentiya,RU,65.5833,-171.0,46.65,86,90,6.55,overcast clouds
135,Abatskoye,RU,56.2875,70.4555,49.24,90,100,18.81,light rain
136,Coromandel,BR,-18.4733,-47.2003,66.04,41,0,4.25,clear sky
