City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
152,Heihe,CN,72.18,light rain,50.2441,127.4902,Hotel Strannik
153,Galesong,ID,71.62,scattered clouds,-5.3166,119.3661,Sapriadi Appy
154,Nikolskoye,RU,75.09,overcast clouds,59.7035,30.7861,Tourist House - Sablino
155,Hirara,JP,84.09,broken clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
157,Nishihara,JP,81.68,scattered clouds,26.1842,127.7558,Minshuku Agaihama
159,Kattivakkam,IN,82.49,overcast clouds,13.2167,80.3167,Euronova Freezer
160,Tautira,PF,80.62,light rain,-17.7333,-149.15,Pension Oaoa
163,Naze,JP,78.39,overcast clouds,28.3667,129.4833,奄美ポートタワーホテル
164,Ribeira Grande,PT,72.0,scattered clouds,38.5167,-28.7,Quinta da Meia Eira
168,Vostok,RU,70.34,broken clouds,46.4856,135.8833,
171,Isangel,VU,71.38,overcast clouds,-19.55,169.2667,Tanna Lodge
173,Sao Jose Da Coroa Grande,BR,75.67,scattered clouds,-8.8978,-35.1478,Crôa Mares Hotel
174,Ponta Do Sol,PT,72.72,clear sky,32.6667,-17.1,Hotel do Campo
176,Georgetown,MY,78.89,scattered clouds,5.4112,100.3354,Cititel Penang
178,Arraial Do Cabo,BR,75.16,clear sky,-22.9661,-42.0278,Pousada Porto Praia
179,Two Hills,CA,82.76,overcast clouds,53.7169,-111.7518,Junction Inn
190,Lukiv,UA,74.17,clear sky,51.0521,25.4006,
193,Caruray,PH,79.38,overcast clouds,10.3094,119.0128,
195,San Quintin,MX,76.53,scattered clouds,30.4833,-115.95,Don Eddie's Sport Fishing Center
200,Yumen,CN,71.22,overcast clouds,40.2833,97.2,
201,Karwar,IN,78.15,light rain,14.8,74.1333,Netalco Connects
204,Yangambi,CD,75.7,broken clouds,0.8102,24.4336,
207,Saint-Georges,GD,83.88,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
211,Rosemount,US,89.78,clear sky,44.7394,-93.1258,Rosemount Woods
212,Pompeia,BR,70.9,clear sky,-22.1086,-50.1717,Hotel Pousada Vale do Sol
213,Daru,PG,77.97,broken clouds,-9.0763,143.2092,Daru Lodge
219,Skelleftea,SE,72.0,overcast clouds,64.7507,20.9528,Quality Hotel Skellefteå Stadshotell
221,Meulaboh,ID,76.21,overcast clouds,4.1363,96.1285,Kost Pria
224,Primero De Enero,CU,86.68,broken clouds,21.9469,-78.4283,Motel Dos Palmas (Maria Machete)
227,Garwa,IN,81.63,scattered clouds,24.1833,83.8167,A.PS.D Utsav Garden
229,Kpandae,GH,78.4,overcast clouds,8.4689,-0.0113,S. Amaski Guest House
231,Konskie,PL,74.16,clear sky,51.1917,20.4061,Agroturystyka Barycz - Domek Marcel
232,Chervonohryhorivka,UA,74.41,clear sky,47.623,34.5389,Sadyba Na Butsʹko-Tomakivsʹkiy Sichi
233,Kahului,US,82.85,few clouds,20.8947,-156.47,Maui Seaside Hotel
234,El Bagre,CO,88.34,overcast clouds,7.5927,-74.8086,Hotel Real
237,Nicoya,CR,87.35,broken clouds,10.1483,-85.452,Guayacan Real
238,Grand Gaube,MU,70.2,few clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
239,Jishou,CN,75.69,clear sky,28.3167,109.7167,7 Days Inn
240,Sao Felix Do Xingu,BR,85.96,broken clouds,-6.6447,-51.995,Rio Xingu Camping
241,Katsuura,JP,76.1,scattered clouds,35.1333,140.3,Katsuura Hotel Mikazuki
242,Show Low,US,87.51,clear sky,34.2542,-110.0298,Hampton Inn & Suites Show Low-Pinetop
243,Vila Velha,BR,78.96,scattered clouds,-20.3297,-40.2925,Quality Suites Vila Velha
245,Sweetwater,US,78.82,thunderstorm,25.7634,-80.3731,Li'l Abner Mobile Home Park
