City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
662,Ames,US,86.05,clear sky,42.0347,-93.6199,"Holiday Inn Express & Suites Ames, an IHG Hotel"
669,Neiafu,TO,77.68,broken clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
672,Babugarh,IN,80.83,overcast clouds,28.7167,77.85,Manohar Heritage
673,Cody,US,78.62,broken clouds,44.5263,-109.0565,Buffalo Bill (Cabins) Village
674,Navalmoral De La Mata,ES,72.03,scattered clouds,39.8916,-5.5406,Hotel Moya S A
675,Belmonte,BR,73.9,clear sky,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
676,Aksu,CN,71.87,broken clouds,41.1231,80.2644,Pudong Holiday Hotel
677,Paragominas,BR,78.98,scattered clouds,-2.9667,-47.4833,INOVA
680,Oxbow,CA,81.64,clear sky,49.2333,-102.1676,Bow Manor Motor Hotel
682,Tezu,IN,75.6,light rain,27.9167,96.1667,Circuit House
683,Yajalon,MX,77.25,overcast clouds,17.2333,-92.3333,"SACLUMIL DOS, YAJALON"
684,Nouakchott,MR,78.73,scattered clouds,18.0858,-15.9785,HOTEL IMAN فندق إيمان
685,Rabapatona,HU,80.82,few clouds,47.6322,17.48,
688,Grand Forks,US,83.79,clear sky,47.9417,-97.4337,Warrior Inn
690,Kanniyakumari,IN,79.47,scattered clouds,8.0833,77.5667,Sparsa
691,Biu,NG,72.61,overcast clouds,10.6129,12.1946,Emir's Palace
696,Paita,PE,75.76,clear sky,-5.0892,-81.1144,Hotel Náutico de Paita
697,Key Largo,US,79.99,overcast clouds,25.0865,-80.4473,Bayside Inn Key Largo
698,Las Choapas,MX,89.11,broken clouds,17.9333,-94.0833,Hotel Jysmak
699,Clyde,US,82.67,overcast clouds,41.3042,-82.9752,Red Roof Inn Clyde
700,Dhidhdhoo,MV,82.04,overcast clouds,6.8833,73.1,Dhidhoo beach
705,Letenye,HU,78.46,overcast clouds,46.433,16.7258,M7 Galéria Panzió
707,Manzil Salim,TN,77.0,broken clouds,35.8567,8.4765,mohamed ben khlil omri
709,Khasan,RU,70.0,overcast clouds,42.4308,130.6434,
710,Burla,IN,78.39,broken clouds,21.5,83.8667,Gents Hostel 2(ଭୃଗୁ)
